id,iso_a3,Country,2010,2011,2012,2013,2014,2015_Forecast,Volume,14_15_Variation,Ranking
1,ITA,Italy,48525,42772,45616,54029,44229,48869,4640,10%,1
2,FRA,France,44381,50757,41548,42134,46804,47373,569,1%,2
3,ESP,Spain,35353,33397,31123,45308,38211,36600,-1611,-4%,3
4,USA,United States,20887,19140,21650,23590,22020,22140,120,1%,4
5,ARG,Argentina,16250,15473,11778,14984,15197,13358,-1839,-12%,5
6,CHL,Chile,8844,10464,12554,12820,10500,12870,2370,23%,6
7,AUS,Australia,11420,11180,12259,12310,12020,12000,-20,0%,7
8,ZAF,South Africa,9327,9725,10569,10982,11316,11310,-6,0%,8
9,CHN,China,13000,13200,13511,11780,11178,11178,0,0%,9
10,DEU,Germany,6906,9132,9012,8409,9202,8788,-414,-4%,10
11,PRT,Portugal,7148,5622,6327,6231,6195,6703,508,8%,11
12,RUS,Russia,7640,6980,6220,5290,4880,4880,0,0%,12
13,ROU,Romania,3287,4058,3311,5113,3750,4069,319,9%,13
14,HUN,Hungary,1762,2750,1818,2618,2555,2873,318,12%,14
15,BRA,Brazil,2459,3460,2967,2710,2732,2732,0,0%,15
16,GRC,Greece,2950,2750,3115,3343,2900,2650,-250,-9%,16
17,AUT,Austria,1737,2814,2125,2392,1999,2350,351,18%,17
18,NZL,New Zealand,1900,2350,1940,2484,3204,2350,-854,-27%,18
19,SRB,Serbia,2382,2244,2175,2306,2332,2332,0,0%,19
20,BGR,Bulgaria,1224,1237,1442,1755,747,1538,791,106%,20
21,MDA,Moldava,840,1520,1470,2570,1630,1630,0,0%,21
22,GEO,Georgia,1034,1108,830,997,1134,1134,0,0%,22